event_id,match_id,period,minute,second,timestamp,event_type,player_name,team_name,possession_team,location_x,location_y,under_pressure,duration,play_pattern,pass_recipient,pass_length,pass_height,pass_outcome,pass_angle,pass_end_x,pass_end_y,shot_outcome,shot_xg,shot_body_part,shot_technique,is_goal,carry_end_x,carry_end_y,carry_distance,dribble_outcome,dribble_nutmeg,substitution,position,foul_committed,Slovakia_score,Romania_score,score_diff,team_tournament_wins,team_tournament_draws,team_tournament_losses,team_tournament_goals,team_tournament_conceded,player_tournament_goals,player_match_goals,previous_event_type,previous_player,previous_team,previous_minute,previous_second,next_event_type,next_player,next_team,possession_retained,distance_to_goal,is_key_pass,is_danger_zone,is_high_pressure
138335,3930183,1,0,0,00:00:00.000,Starting XI,,Slovakia,Slovakia,,,,0.0,Regular Play,,,,,,,,,,,,False,,,,,False,,,,0,0,0,1,0,1,2,2,0,0,,,,,,Starting XI,,Romania,False,,False,,False
138336,3930183,1,0,0,00:00:00.000,Starting XI,,Romania,Slovakia,,,,0.0,Regular Play,,,,,,,,,,,,False,,,,,False,,,,0,0,0,1,0,1,3,2,0,0,Starting XI,,Slovakia,0.0,0.0,Half Start,,Slovakia,False,,False,,False
138337,3930183,1,0,0,00:00:00.000,Half Start,,Slovakia,Slovakia,,,,0.0,Regular Play,,,,,,,,,,,,False,,,,,False,,,,0,0,0,1,0,1,2,2,0,0,Starting XI,,Romania,0.0,0.0,Half Start,,Romania,False,,False,,False
138338,3930183,1,0,0,00:00:00.000,Half Start,,Romania,Slovakia,,,,0.0,Regular Play,,,,,,,,,,,,False,,,,,False,,,,0,0,0,1,0,1,3,2,0,0,Half Start,,Slovakia,0.0,0.0,Pass,David Strelec,Slovakia,False,,False,,False
138339,3930183,1,0,0,00:00:00.434,Pass,David Strelec,Slovakia,Slovakia,60.0,40.0,,1.574965,From Kick Off,Milan Škriniar,24.4387,Ground Pass,,-2.751208,37.4,30.7,,,,,False,,,,,False,,"{'id': 23, 'name': 'Center Forward'}",,0,0,0,1,0,1,2,2,0,0,Half Start,,Romania,0.0,0.0,Ball Receipt*,Milan Škriniar,Slovakia,True,60.0,False,False,False
138340,3930183,1,0,2,00:00:02.009,Ball Receipt*,Milan Škriniar,Slovakia,Slovakia,37.4,30.7,,,From Kick Off,,,,,,,,,,,,False,,,,,False,,"{'id': 5, 'name': 'Left Center Back'}",,0,0,0,1,0,1,2,2,0,0,Pass,David Strelec,Slovakia,0.0,0.0,Carry,Milan Škriniar,Slovakia,True,82.6,False,False,False
138341,3930183,1,0,2,00:00:02.009,Carry,Milan Škriniar,Slovakia,Slovakia,37.4,30.7,,0.339439,From Kick Off,,,,,,,,,,,,False,37.4,30.7,0.0,,False,,"{'id': 5, 'name': 'Left Center Back'}",,0,0,0,1,0,1,2,2,0,0,Ball Receipt*,Milan Škriniar,Slovakia,0.0,2.0,Pass,Milan Škriniar,Slovakia,True,82.6,False,False,False
138342,3930183,1,0,2,00:00:02.348,Pass,Milan Škriniar,Slovakia,Slovakia,37.4,30.7,,1.312706,From Kick Off,Denis Vavro,2.9410882,Ground Pass,,2.1870933,35.7,33.1,,,,,False,,,,,False,,"{'id': 5, 'name': 'Left Center Back'}",,0,0,0,1,0,1,2,2,0,0,Carry,Milan Škriniar,Slovakia,0.0,2.0,Ball Receipt*,Denis Vavro,Slovakia,True,82.6,False,False,False
138343,3930183,1,0,3,00:00:03.661,Ball Receipt*,Denis Vavro,Slovakia,Slovakia,35.7,33.1,,,From Kick Off,,,,,,,,,,,,False,,,,,False,,"{'id': 3, 'name': 'Right Center Back'}",,0,0,0,1,0,1,2,2,0,0,Pass,Milan Škriniar,Slovakia,0.0,2.0,Carry,Denis Vavro,Slovakia,True,84.3,False,False,False
138344,3930183,1,0,3,00:00:03.661,Carry,Denis Vavro,Slovakia,Slovakia,35.7,33.1,,0.039998002,From Kick Off,,,,,,,,,,,,False,35.7,33.1,0.0,,False,,"{'id': 3, 'name': 'Right Center Back'}",,0,0,0,1,0,1,2,2,0,0,Ball Receipt*,Denis Vavro,Slovakia,0.0,3.0,Pass,Denis Vavro,Slovakia,True,84.3,False,False,False
138345,3930183,1,0,3,00:00:03.701,Pass,Denis Vavro,Slovakia,Slovakia,35.7,33.1,,4.728257,From Kick Off,Lukáš Haraslín,77.3823,High Pass,,-0.37162733,107.8,5.0,,,,,False,,,,,False,,"{'id': 3, 'name': 'Right Center Back'}",,0,0,0,1,0,1,2,2,0,0,Carry,Denis Vavro,Slovakia,0.0,3.0,Ball Receipt*,Lukáš Haraslín,Slovakia,True,84.3,False,False,False
138346,3930183,1,0,8,00:00:08.429,Ball Receipt*,Lukáš Haraslín,Slovakia,Slovakia,107.8,5.0,,,From Kick Off,,,,,,,,,,,,False,,,,,False,,"{'id': 21, 'name': 'Left Wing'}",,0,0,0,1,0,1,2,2,0,0,Pass,Denis Vavro,Slovakia,0.0,3.0,Pass,Lukáš Haraslín,Slovakia,True,12.200000000000003,False,True,False
138347,3930183,1,0,8,00:00:08.429,Pass,Lukáš Haraslín,Slovakia,Slovakia,106.0,5.2,,0.98851,From Kick Off,Ondrej Duda,16.11521,High Pass,Incomplete,1.5273454,106.7,21.3,,,,,False,,,,,False,,"{'id': 21, 'name': 'Left Wing'}",,0,0,0,1,0,1,2,2,0,0,Ball Receipt*,Lukáš Haraslín,Slovakia,0.0,8.0,Ball Receipt*,Ondrej Duda,Slovakia,True,14.0,False,True,False
138348,3930183,1,0,9,00:00:09.418,Ball Receipt*,Ondrej Duda,Slovakia,Slovakia,107.3,23.0,,,From Kick Off,,,,,,,,,,,,False,,,,,False,,"{'id': 15, 'name': 'Left Center Midfield'}",,0,0,0,1,0,1,2,2,0,0,Pass,Lukáš Haraslín,Slovakia,0.0,8.0,Clearance,Radu Drăgușin,Romania,False,12.700000000000003,False,True,False
138349,3930183,1,0,9,00:00:09.418,Clearance,Radu Drăgușin,Romania,Slovakia,13.4,58.8,True,0.0,From Kick Off,,,,,,,,,,,,False,,,,,False,,"{'id': 3, 'name': 'Right Center Back'}",,0,0,0,1,0,1,3,2,0,0,Ball Receipt*,Ondrej Duda,Slovakia,0.0,9.0,Pressure,Nicușor Silviu Bancu,Romania,True,106.6,False,False,False
138350,3930183,1,0,11,00:00:11.236,Pressure,Nicușor Silviu Bancu,Romania,Slovakia,19.3,39.7,,0.329563,From Kick Off,,,,,,,,,,,,False,,,,,False,,"{'id': 6, 'name': 'Left Back'}",,0,0,0,1,0,1,3,2,0,0,Clearance,Radu Drăgușin,Romania,0.0,9.0,Ball Recovery,Juraj Kucka,Slovakia,False,100.7,False,False,False
138351,3930183,1,0,11,00:00:11.445,Ball Recovery,Juraj Kucka,Slovakia,Slovakia,100.2,39.3,True,0.0,From Kick Off,,,,,,,,,,,,False,,,,,False,,"{'id': 13, 'name': 'Right Center Midfield'}",,0,0,0,1,0,1,2,2,0,0,Pressure,Nicușor Silviu Bancu,Romania,0.0,11.0,Shot,Juraj Kucka,Slovakia,True,19.799999999999997,False,True,True
138352,3930183,1,0,11,00:00:11.554,Shot,Juraj Kucka,Slovakia,Slovakia,99.2,37.7,True,0.065629,From Kick Off,,,,,,,,Blocked,0.042125423,Right Foot,Half Volley,False,,,,,False,,"{'id': 13, 'name': 'Right Center Midfield'}",,0,0,0,1,0,1,2,2,0,0,Ball Recovery,Juraj Kucka,Slovakia,0.0,11.0,Block,Nicușor Silviu Bancu,Romania,False,20.799999999999997,False,True,False
138353,3930183,1,0,11,00:00:11.619,Block,Nicușor Silviu Bancu,Romania,Slovakia,19.3,42.2,,0.0,From Kick Off,,,,,,,,,,,,False,,,,,False,,"{'id': 6, 'name': 'Left Back'}",,0,0,0,1,0,1,3,2,0,0,Shot,Juraj Kucka,Slovakia,0.0,11.0,Goal Keeper,Florin Constantin Niţă,Romania,True,100.7,False,False,False
138354,3930183,1,0,11,00:00:11.946,Goal Keeper,Florin Constantin Niţă,Romania,Slovakia,4.0,40.8,,0.0,From Kick Off,,,,,,,,,,,,False,,,,,False,,"{'id': 1, 'name': 'Goalkeeper'}",,0,0,0,1,0,1,3,2,0,0,Block,Nicușor Silviu Bancu,Romania,0.0,11.0,Ball Recovery,Peter Pekarík,Slovakia,False,116.0,False,False,False
138355,3930183,1,0,13,00:00:13.409,Ball Recovery,Peter Pekarík,Slovakia,Slovakia,93.2,51.8,,0.0,From Kick Off,,,,,,,,,,,,False,,,,,False,,"{'id': 2, 'name': 'Right Back'}",,0,0,0,1,0,1,2,2,0,0,Goal Keeper,Florin Constantin Niţă,Romania,0.0,11.0,Shot,Peter Pekarík,Slovakia,True,26.799999999999997,False,False,False
138356,3930183,1,0,13,00:00:13.662,Shot,Peter Pekarík,Slovakia,Slovakia,94.7,52.1,,0.807643,From Kick Off,,,,,,,,Wayward,0.018847207,Right Foot,Half Volley,False,,,,,False,,"{'id': 2, 'name': 'Right Back'}",,0,0,0,1,0,1,2,2,0,0,Ball Recovery,Peter Pekarík,Slovakia,0.0,13.0,Block,David Strelec,Slovakia,True,25.299999999999997,False,False,False
138357,3930183,1,0,14,00:00:14.188,Block,David Strelec,Slovakia,Slovakia,107.3,44.4,,0.0,From Kick Off,,,,,,,,,,,,False,,,,,False,,"{'id': 23, 'name': 'Center Forward'}",,0,0,0,1,0,1,2,2,0,0,Shot,Peter Pekarík,Slovakia,0.0,13.0,Ball Recovery,David Strelec,Slovakia,True,12.700000000000003,False,True,False
138358,3930183,1,0,14,00:00:14.222,Ball Recovery,David Strelec,Slovakia,Slovakia,107.0,41.0,,0.0,From Kick Off,,,,,,,,,,,,False,,,,,False,,"{'id': 23, 'name': 'Center Forward'}",,0,0,0,1,0,1,2,2,0,0,Block,David Strelec,Slovakia,0.0,14.0,Shot,David Strelec,Slovakia,True,13.0,False,True,False
138359,3930183,1,0,14,00:00:14.278,Shot,David Strelec,Slovakia,Slovakia,105.8,41.1,,0.608582,From Kick Off,,,,,,,,Wayward,0.16629212,Left Foot,Volley,False,,,,,False,,"{'id': 23, 'name': 'Center Forward'}",,0,0,0,1,0,1,2,2,0,0,Ball Recovery,David Strelec,Slovakia,0.0,14.0,Goal Keeper,Florin Constantin Niţă,Romania,False,14.200000000000003,False,True,False
138360,3930183,1,0,14,00:00:14.469,Goal Keeper,Florin Constantin Niţă,Romania,Slovakia,3.7,38.7,,0.0,From Kick Off,,,,,,,,,,,,False,,,,,False,,"{'id': 1, 'name': 'Goalkeeper'}",,0,0,0,1,0,1,3,2,0,0,Shot,David Strelec,Slovakia,0.0,14.0,Goal Keeper,Florin Constantin Niţă,Romania,True,116.3,False,False,False
138361,3930183,1,0,14,00:00:14.887,Goal Keeper,Florin Constantin Niţă,Romania,Slovakia,3.2,39.6,,0.0,From Kick Off,,,,,,,,,,,,False,,,,,False,,"{'id': 1, 'name': 'Goalkeeper'}",,0,0,0,1,0,1,3,2,0,0,Goal Keeper,Florin Constantin Niţă,Romania,0.0,14.0,Pass,Ivan Schranz,Slovakia,False,116.8,False,False,False
138362,3930183,1,0,16,00:00:16.431,Pass,Ivan Schranz,Slovakia,Slovakia,108.3,59.1,,0.943156,From Kick Off,David Strelec,9.924717,Low Pass,Incomplete,-1.5002067,109.0,49.2,,,,,False,,,,,False,,"{'id': 17, 'name': 'Right Wing'}",,0,0,0,1,0,1,2,2,2,0,Goal Keeper,Florin Constantin Niţă,Romania,0.0,14.0,Ball Receipt*,David Strelec,Slovakia,True,11.700000000000003,False,True,False
138363,3930183,1,0,17,00:00:17.374,Ball Receipt*,David Strelec,Slovakia,Slovakia,108.5,46.6,,,From Kick Off,,,,,,,,,,,,False,,,,,False,,"{'id': 23, 'name': 'Center Forward'}",,0,0,0,1,0,1,2,2,0,0,Pass,Ivan Schranz,Slovakia,0.0,16.0,Clearance,Andrei Burcă Andonie,Romania,False,11.5,False,True,False
138364,3930183,1,0,17,00:00:17.374,Clearance,Andrei Burcă Andonie,Romania,Slovakia,11.1,30.9,True,0.0,From Kick Off,,,,,,,,,,,,False,,,,,False,,"{'id': 5, 'name': 'Left Center Back'}",,0,0,0,1,0,1,3,2,0,0,Ball Receipt*,David Strelec,Slovakia,0.0,17.0,Pressure,Florinel Teodor Coman,Romania,True,108.9,False,False,False
138365,3930183,1,0,18,00:00:18.918,Pressure,Florinel Teodor Coman,Romania,Slovakia,14.1,16.7,,0.973815,From Kick Off,,,,,,,,,,,,False,,,,,False,,"{'id': 16, 'name': 'Left Midfield'}",,0,0,0,1,0,1,3,2,0,0,Clearance,Andrei Burcă Andonie,Romania,0.0,17.0,Ball Recovery,Peter Pekarík,Slovakia,False,105.9,False,False,False
138366,3930183,1,0,19,00:00:19.236,Ball Recovery,Peter Pekarík,Slovakia,Slovakia,105.3,66.4,True,0.0,From Kick Off,,,,,,,,,,,,False,,,,,False,,"{'id': 2, 'name': 'Right Back'}",,0,0,0,1,0,1,2,2,0,0,Pressure,Florinel Teodor Coman,Romania,0.0,18.0,Carry,Peter Pekarík,Slovakia,True,14.700000000000003,False,True,True
138367,3930183,1,0,19,00:00:19.236,Carry,Peter Pekarík,Slovakia,Slovakia,105.3,66.4,True,0.815197,From Kick Off,,,,,,,,,,,,False,108.3,68.6,3.720215047547648,,False,,"{'id': 2, 'name': 'Right Back'}",,0,0,0,1,0,1,2,2,0,0,Ball Recovery,Peter Pekarík,Slovakia,0.0,19.0,Dispossessed,Peter Pekarík,Slovakia,True,14.700000000000003,False,True,False
138368,3930183,1,0,20,00:00:20.052,Dispossessed,Peter Pekarík,Slovakia,Slovakia,108.3,68.6,True,0.0,From Kick Off,,,,,,,,,,,,False,,,,,False,,"{'id': 2, 'name': 'Right Back'}",,0,0,0,1,0,1,2,2,0,0,Carry,Peter Pekarík,Slovakia,0.0,19.0,Duel,Florinel Teodor Coman,Romania,False,11.700000000000003,False,True,False
138369,3930183,1,0,20,00:00:20.052,Duel,Florinel Teodor Coman,Romania,Romania,11.8,11.5,True,0.0,From Counter,,,,,,,,,,,,False,,,,,False,,"{'id': 16, 'name': 'Left Midfield'}",,0,0,0,1,0,1,3,2,0,0,Dispossessed,Peter Pekarík,Slovakia,0.0,20.0,Carry,Florinel Teodor Coman,Romania,True,108.2,False,False,False
138370,3930183,1,0,20,00:00:20.052,Carry,Florinel Teodor Coman,Romania,Romania,11.8,11.5,,0.85443,From Counter,,,,,,,,,,,,False,12.2,11.5,0.3999999999999986,,False,,"{'id': 16, 'name': 'Left Midfield'}",,0,0,0,1,0,1,3,2,0,0,Duel,Florinel Teodor Coman,Romania,0.0,20.0,Pass,Florinel Teodor Coman,Romania,True,108.2,False,False,False
138371,3930183,1,0,20,00:00:20.906,Pass,Florinel Teodor Coman,Romania,Romania,12.2,11.5,,0.592423,From Counter,Nicușor Silviu Bancu,4.1629314,Low Pass,,1.150133,13.9,15.3,,,,,False,,,,,False,,"{'id': 16, 'name': 'Left Midfield'}",,0,0,0,1,0,1,3,2,0,0,Carry,Florinel Teodor Coman,Romania,0.0,20.0,Ball Receipt*,Nicușor Silviu Bancu,Romania,True,107.8,False,False,False
138372,3930183,1,0,21,00:00:21.499,Ball Receipt*,Nicușor Silviu Bancu,Romania,Romania,13.9,15.3,,,From Counter,,,,,,,,,,,,False,,,,,False,,"{'id': 6, 'name': 'Left Back'}",,0,0,0,1,0,1,3,2,0,0,Pass,Florinel Teodor Coman,Romania,0.0,20.0,Carry,Nicușor Silviu Bancu,Romania,True,106.1,False,False,False
138373,3930183,1,0,21,00:00:21.499,Carry,Nicușor Silviu Bancu,Romania,Romania,13.9,15.3,,0.84522,From Counter,,,,,,,,,,,,False,14.1,15.1,0.2828427124746193,,False,,"{'id': 6, 'name': 'Left Back'}",,0,0,0,1,0,1,3,2,0,0,Ball Receipt*,Nicușor Silviu Bancu,Romania,0.0,21.0,Pass,Nicușor Silviu Bancu,Romania,True,106.1,False,False,False
138374,3930183,1,0,22,00:00:22.344,Pass,Nicușor Silviu Bancu,Romania,Romania,14.1,15.1,,1.072748,From Counter,Nicolae Claudiu Stanciu,6.780118,Ground Pass,,0.9213956,18.2,20.5,,,,,False,,,,,False,,"{'id': 6, 'name': 'Left Back'}",,0,0,0,1,0,1,3,2,0,0,Carry,Nicușor Silviu Bancu,Romania,0.0,21.0,Ball Receipt*,Nicolae Claudiu Stanciu,Romania,True,105.9,False,False,False
138375,3930183,1,0,23,00:00:23.416,Ball Receipt*,Nicolae Claudiu Stanciu,Romania,Romania,18.2,20.5,,,From Counter,,,,,,,,,,,,False,,,,,False,,"{'id': 15, 'name': 'Left Center Midfield'}",,0,0,0,1,0,1,3,2,1,0,Pass,Nicușor Silviu Bancu,Romania,0.0,22.0,Carry,Nicolae Claudiu Stanciu,Romania,True,101.8,False,False,False
138376,3930183,1,0,23,00:00:23.416,Carry,Nicolae Claudiu Stanciu,Romania,Romania,18.2,20.5,,0.074164,From Counter,,,,,,,,,,,,False,18.2,21.0,0.5,,False,,"{'id': 15, 'name': 'Left Center Midfield'}",,0,0,0,1,0,1,3,2,1,0,Ball Receipt*,Nicolae Claudiu Stanciu,Romania,0.0,23.0,Pass,Nicolae Claudiu Stanciu,Romania,True,101.8,False,False,False
138377,3930183,1,0,23,00:00:23.491,Pass,Nicolae Claudiu Stanciu,Romania,Romania,18.2,21.0,,1.096962,From Counter,Denis Mihai Drăguş,12.928264,Ground Pass,,-0.25811112,30.7,17.7,,,,,False,,,,,False,,"{'id': 15, 'name': 'Left Center Midfield'}",,0,0,0,1,0,1,3,2,1,0,Carry,Nicolae Claudiu Stanciu,Romania,0.0,23.0,Ball Receipt*,Denis Mihai Drăguş,Romania,True,101.8,False,False,False
138378,3930183,1,0,24,00:00:24.588,Ball Receipt*,Denis Mihai Drăguş,Romania,Romania,30.7,17.7,,,From Counter,,,,,,,,,,,,False,,,,,False,,"{'id': 23, 'name': 'Center Forward'}",,0,0,0,1,0,1,3,2,1,0,Pass,Nicolae Claudiu Stanciu,Romania,0.0,23.0,Pass,Denis Mihai Drăguş,Romania,True,89.3,False,False,False
138379,3930183,1,0,24,00:00:24.588,Pass,Denis Mihai Drăguş,Romania,Romania,30.7,17.7,,1.706561,From Counter,Nicușor Silviu Bancu,16.98146,Low Pass,Out,-1.8944091,25.3,1.6,,,,,False,,,,,False,,"{'id': 23, 'name': 'Center Forward'}",,0,0,0,1,0,1,3,2,1,0,Ball Receipt*,Denis Mihai Drăguş,Romania,0.0,24.0,Ball Receipt*,Nicușor Silviu Bancu,Romania,True,89.3,False,False,False
138380,3930183,1,0,26,00:00:26.294,Ball Receipt*,Nicușor Silviu Bancu,Romania,Romania,19.9,8.0,,,Regular Play,,,,,,,,,,,,False,,,,,False,,"{'id': 6, 'name': 'Left Back'}",,0,0,0,1,0,1,3,2,0,0,Pass,Denis Mihai Drăguş,Romania,0.0,24.0,Pass,Peter Pekarík,Slovakia,False,100.1,False,False,False
138381,3930183,1,0,42,00:00:42.625,Pass,Peter Pekarík,Slovakia,Slovakia,90.3,80.0,,1.620433,From Throw In,Ivan Schranz,22.860008,Low Pass,,-0.11838654,113.0,77.3,,,,,False,,,,,False,,"{'id': 2, 'name': 'Right Back'}",,0,0,0,1,0,1,2,2,0,0,Ball Receipt*,Nicușor Silviu Bancu,Romania,0.0,26.0,Ball Receipt*,Ivan Schranz,Slovakia,True,29.700000000000003,False,False,False
138382,3930183,1,0,44,00:00:44.245,Ball Receipt*,Ivan Schranz,Slovakia,Slovakia,113.0,77.3,,,From Throw In,,,,,,,,,,,,False,,,,,False,,"{'id': 17, 'name': 'Right Wing'}",,0,0,0,1,0,1,2,2,2,0,Pass,Peter Pekarík,Slovakia,0.0,42.0,Carry,Ivan Schranz,Slovakia,True,7.0,False,True,False
138383,3930183,1,0,44,00:00:44.245,Carry,Ivan Schranz,Slovakia,Slovakia,113.0,77.3,,0.756363,From Throw In,,,,,,,,,,,,False,114.5,76.8,1.5811388300841898,,False,,"{'id': 17, 'name': 'Right Wing'}",,0,0,0,1,0,1,2,2,2,0,Ball Receipt*,Ivan Schranz,Slovakia,0.0,44.0,Pass,Ivan Schranz,Slovakia,True,7.0,False,True,False
138384,3930183,1,0,45,00:00:45.001,Pass,Ivan Schranz,Slovakia,Slovakia,114.5,76.8,,0.891524,From Throw In,Juraj Kucka,9.228217,Ground Pass,,-2.0926306,109.9,68.8,,,,,False,,,,,False,,"{'id': 17, 'name': 'Right Wing'}",,0,0,0,1,0,1,2,2,2,0,Carry,Ivan Schranz,Slovakia,0.0,44.0,Pressure,Marius Mihai Marin,Romania,False,5.5,False,True,False
138385,3930183,1,0,45,00:00:45.542,Pressure,Marius Mihai Marin,Romania,Slovakia,10.6,12.0,,0.325737,From Throw In,,,,,,,,,,,,False,,,,,False,,"{'id': 10, 'name': 'Center Defensive Midfield'}",,0,0,0,1,0,1,3,2,0,0,Pass,Ivan Schranz,Slovakia,0.0,45.0,Ball Receipt*,Juraj Kucka,Slovakia,False,109.4,False,False,False
138386,3930183,1,0,45,00:00:45.893,Ball Receipt*,Juraj Kucka,Slovakia,Slovakia,109.9,68.8,,,From Throw In,,,,,,,,,,,,False,,,,,False,,"{'id': 13, 'name': 'Right Center Midfield'}",,0,0,0,1,0,1,2,2,0,0,Pressure,Marius Mihai Marin,Romania,0.0,45.0,Carry,Juraj Kucka,Slovakia,True,10.099999999999994,False,True,True
138387,3930183,1,0,45,00:00:45.893,Carry,Juraj Kucka,Slovakia,Slovakia,109.9,68.8,,0.216353,From Throw In,,,,,,,,,,,,False,109.2,70.0,1.3892443989449843,,False,,"{'id': 13, 'name': 'Right Center Midfield'}",,0,0,0,1,0,1,2,2,0,0,Ball Receipt*,Juraj Kucka,Slovakia,0.0,45.0,Pass,Juraj Kucka,Slovakia,True,10.099999999999994,False,True,False
138388,3930183,1,0,46,00:00:46.109,Pass,Juraj Kucka,Slovakia,Slovakia,109.2,70.0,,0.477033,From Throw In,Peter Pekarík,7.1281133,Ground Pass,Incomplete,2.166581,105.2,75.9,,,,,False,,,,,False,,"{'id': 13, 'name': 'Right Center Midfield'}",,0,0,0,1,0,1,2,2,0,0,Carry,Juraj Kucka,Slovakia,0.0,45.0,Ball Receipt*,Peter Pekarík,Slovakia,True,10.799999999999997,False,True,False
138389,3930183,1,0,46,00:00:46.586,Ball Receipt*,Peter Pekarík,Slovakia,Slovakia,104.0,76.9,,,From Throw In,,,,,,,,,,,,False,,,,,False,,"{'id': 2, 'name': 'Right Back'}",,0,0,0,1,0,1,2,2,0,0,Pass,Juraj Kucka,Slovakia,0.0,46.0,Ball Recovery,Denis Mihai Drăguş,Romania,False,16.0,False,True,False
138390,3930183,1,0,46,00:00:46.586,Ball Recovery,Denis Mihai Drăguş,Romania,Slovakia,14.9,4.2,,0.0,From Throw In,,,,,,,,,,,,False,,,,,False,,"{'id': 23, 'name': 'Center Forward'}",,0,0,0,1,0,1,3,2,1,0,Ball Receipt*,Peter Pekarík,Slovakia,0.0,46.0,Carry,Denis Mihai Drăguş,Romania,True,105.1,False,False,False
138391,3930183,1,0,46,00:00:46.586,Carry,Denis Mihai Drăguş,Romania,Slovakia,14.9,4.2,True,0.607313,From Throw In,,,,,,,,,,,,False,14.4,3.9,0.5830951894845302,,False,,"{'id': 23, 'name': 'Center Forward'}",,0,0,0,1,0,1,3,2,1,0,Ball Recovery,Denis Mihai Drăguş,Romania,0.0,46.0,Pressure,Ivan Schranz,Slovakia,False,105.1,False,False,False
138392,3930183,1,0,47,00:00:47.077,Pressure,Ivan Schranz,Slovakia,Slovakia,107.1,76.2,,0.190187,From Throw In,,,,,,,,,,,,False,,,,,False,,"{'id': 17, 'name': 'Right Wing'}",,0,0,0,1,0,1,2,2,2,0,Carry,Denis Mihai Drăguş,Romania,0.0,46.0,Pass,Denis Mihai Drăguş,Romania,False,12.900000000000006,False,True,False
138393,3930183,1,0,47,00:00:47.194,Pass,Denis Mihai Drăguş,Romania,Slovakia,14.4,3.9,True,0.988214,From Throw In,Marius Mihai Marin,4.7507896,Ground Pass,Incomplete,0.71090937,18.0,7.0,,,,,False,,,,,False,,"{'id': 23, 'name': 'Center Forward'}",,0,0,0,1,0,1,3,2,1,0,Pressure,Ivan Schranz,Slovakia,0.0,47.0,Ball Receipt*,Marius Mihai Marin,Romania,True,105.6,False,False,True
138394,3930183,1,0,48,00:00:48.182,Ball Receipt*,Marius Mihai Marin,Romania,Slovakia,16.8,9.1,,,From Throw In,,,,,,,,,,,,False,,,,,False,,"{'id': 10, 'name': 'Center Defensive Midfield'}",,0,0,0,1,0,1,3,2,0,0,Pass,Denis Mihai Drăguş,Romania,0.0,47.0,Pass,Peter Pekarík,Slovakia,False,103.2,False,False,False
138395,3930183,1,0,48,00:00:48.182,Pass,Peter Pekarík,Slovakia,Slovakia,102.1,73.1,,2.855147,From Throw In,Denis Vavro,20.396078,Ground Pass,,2.9441972,82.1,77.1,,,,,False,,,,,False,,"{'id': 2, 'name': 'Right Back'}",,0,0,0,1,0,1,2,2,0,0,Ball Receipt*,Marius Mihai Marin,Romania,0.0,48.0,Ball Receipt*,Denis Vavro,Slovakia,True,17.900000000000006,False,True,False
138396,3930183,1,0,51,00:00:51.037,Ball Receipt*,Denis Vavro,Slovakia,Slovakia,82.1,77.1,,,From Throw In,,,,,,,,,,,,False,,,,,False,,"{'id': 3, 'name': 'Right Center Back'}",,0,0,0,1,0,1,2,2,0,0,Pass,Peter Pekarík,Slovakia,0.0,48.0,Carry,Denis Vavro,Slovakia,True,37.900000000000006,False,False,False
138397,3930183,1,0,51,00:00:51.037,Carry,Denis Vavro,Slovakia,Slovakia,82.1,77.1,,0.322021,From Throw In,,,,,,,,,,,,False,78.3,75.4,4.162931659299723,,False,,"{'id': 3, 'name': 'Right Center Back'}",,0,0,0,1,0,1,2,2,0,0,Ball Receipt*,Denis Vavro,Slovakia,0.0,51.0,Pass,Denis Vavro,Slovakia,True,37.900000000000006,False,False,False
138398,3930183,1,0,51,00:00:51.359,Pass,Denis Vavro,Slovakia,Slovakia,78.3,75.4,,1.90829,From Throw In,Milan Škriniar,31.753582,Ground Pass,,-2.2602928,58.1,50.9,,,,,False,,,,,False,,"{'id': 3, 'name': 'Right Center Back'}",,0,0,0,1,0,1,2,2,0,0,Carry,Denis Vavro,Slovakia,0.0,51.0,Ball Receipt*,Milan Škriniar,Slovakia,True,41.7,False,False,False
138399,3930183,1,0,53,00:00:53.267,Ball Receipt*,Milan Škriniar,Slovakia,Slovakia,58.1,50.9,,,From Throw In,,,,,,,,,,,,False,,,,,False,,"{'id': 5, 'name': 'Left Center Back'}",,0,0,0,1,0,1,2,2,0,0,Pass,Denis Vavro,Slovakia,0.0,51.0,Carry,Milan Škriniar,Slovakia,True,61.9,False,False,False
138400,3930183,1,0,53,00:00:53.267,Carry,Milan Škriniar,Slovakia,Slovakia,58.1,50.9,,1.76694,From Throw In,,,,,,,,,,,,False,58.1,50.1,0.7999999999999972,,False,,"{'id': 5, 'name': 'Left Center Back'}",,0,0,0,1,0,1,2,2,0,0,Ball Receipt*,Milan Škriniar,Slovakia,0.0,53.0,Pass,Milan Škriniar,Slovakia,True,61.9,False,False,False
138401,3930183,1,0,55,00:00:55.034,Pass,Milan Škriniar,Slovakia,Slovakia,58.1,50.1,,1.694,From Throw In,Denis Vavro,11.472576,Ground Pass,,1.3152472,61.0,61.2,,,,,False,,,,,False,,"{'id': 5, 'name': 'Left Center Back'}",,0,0,0,1,0,1,2,2,0,0,Carry,Milan Škriniar,Slovakia,0.0,53.0,Ball Receipt*,Denis Vavro,Slovakia,True,61.9,False,False,False
